career_aspiration,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
Nghiên cứu mạng xã hội,nam,không,4,không,29,8.6,6.8,6.5,6.4,9.5,8.2,8.7
Luật sư,nam,không,1,có,27,8.6,9.7,7.2,9.0,9.5,9.9,7.6
Nghiên cứu mạng xã hội,nữ,không,2,không,20,8.7,6.8,6.6,8.3,9.2,8.1,8.0
Kế toán,nữ,không,0,không,35,9.4,8.7,10.0,9.0,8.6,8.6,9.0
Bác sĩ,nữ,không,0,không,29,8.8,7.1,8.7,8.5,10.0,7.8,7.8
Nghệ sĩ,nam,không,2,có,0,8.8,6.9,7.6,6.4,9.0,7.8,8.0
Nghiên cứu mạng xã hội,nam,không,3,không,10,7.6,6.1,6.8,8.8,8.6,8.7,6.6
Kỹ sư xây dựng,nam,không,1,có,29,8.4,6.6,9.9,8.0,7.1,8.8,8.9
Kỹ sư phần mềm,nam,không,0,có,17,9.6,7.7,9.1,8.5,6.9,9.1,9.1
Chủ doanh nghiệp,nam,có,10,không,1,5.7,7.5,6.4,8.5,5.3,9.5,8.1
Giáo viên,nữ,không,1,không,14,9.3,7.9,8.2,6.7,6.4,9.0,6.5
Nghiên cứu mạng xã hội,nam,không,1,không,24,8.8,8.4,6.1,6.1,7.9,6.2,9.9
Kỹ sư xây dựng,nam,không,2,không,35,8.9,9.9,8.6,9.7,9.8,9.7,9.3
Kỹ sư xây dựng,nam,không,3,không,19,8.0,8.8,9.4,9.4,10.0,9.9,9.9
Nhân viên ngân hàng,nam,không,6,không,23,9.4,9.2,6.1,8.7,6.1,9.4,6.9
Kỹ sư xây dựng,nam,không,9,không,14,9.9,7.4,9.8,6.9,6.9,6.4,9.6
Nhân viên ngân hàng,nam,không,2,không,21,8.1,7.2,8.7,6.2,6.9,9.3,7.2
Nghiên cứu mạng xã hội,nam,không,6,không,18,9.1,6.1,9.5,8.2,7.7,8.7,9.5
Nhà văn,nữ,không,2,có,16,7.1,10.0,9.9,9.5,9.1,9.6,9.6
Nghiên cứu mạng xã hội,nữ,không,4,không,2,6.1,6.6,7.8,7.9,7.9,9.6,8.1
Nghiên cứu mạng xã hội,nam,không,5,có,16,8.7,8.9,6.0,6.6,7.9,8.1,6.5
Kỹ sư phần mềm,nữ,không,0,không,29,9.3,6.9,7.9,7.8,7.7,7.3,7.7
Kế toán,nam,không,5,không,35,9.2,8.8,8.7,9.8,9.6,8.5,9.6
Nhân viên ngân hàng,nam,không,2,không,11,9.6,8.7,9.9,6.5,9.8,7.9,9.3
Nghệ sĩ,nam,không,3,không,4,8.3,7.5,7.7,6.1,9.3,6.1,7.5
Giáo viên,nữ,không,0,không,15,7.8,8.4,7.9,9.6,7.6,7.1,7.1
Nhân viên ngân hàng,nam,có,10,không,25,8.2,7.4,8.4,7.4,8.6,8.1,10.0
Kế toán,nữ,không,1,không,31,9.4,9.1,6.8,6.1,3.4,6.0,6.3
Bác sĩ,nữ,không,7,không,30,9.3,7.3,9.7,8.9,8.8,6.3,7.0
Giáo viên,nữ,không,3,không,17,8.0,9.5,9.8,9.5,9.6,9.7,8.5
Chủ doanh nghiệp,nữ,không,10,không,0,5.5,9.9,7.1,9.4,6.9,8.7,8.4
Viên chức nhà nước,nữ,có,2,không,10,9.4,7.1,8.3,7.6,9.9,9.5,9.4
Nhà văn,nữ,không,2,không,22,7.2,7.2,8.5,9.0,7.5,9.4,6.5
Kỹ sư phần mềm,nam,không,3,không,16,9.8,8.9,7.5,6.8,8.7,6.9,9.6
Nghiên cứu mạng xã hội,nữ,không,2,không,11,7.1,9.8,6.6,6.5,7.8,8.1,8.2
Kỹ sư phần mềm,nữ,không,3,không,35,9.9,9.5,8.9,9.0,9.5,9.8,9.9
Nhà đầu tư chứng khoán,nam,không,1,không,25,9.7,6.7,8.6,9.5,6.5,9.1,7.6
Chủ doanh nghiệp,nữ,không,9,không,5,8.5,6.4,9.9,9.3,8.9,6.1,6.7
Nghiên cứu mạng xã hội,nam,không,2,có,35,10.0,8.8,9.8,9.0,9.3,9.5,9.8
Nhân viên ngân hàng,nam,không,4,không,15,8.9,6.3,7.3,8.3,7.4,9.1,8.3
Nhân viên ngân hàng,nam,không,4,có,21,7.6,8.7,6.3,9.2,9.3,8.7,8.8
Nhà thiết kế,nữ,không,2,không,3,10.0,6.8,8.0,7.5,8.5,8.2,8.5
Nhà phát triển bất động sản,nữ,không,1,không,1,7.7,9.9,9.9,7.6,7.0,8.0,9.0
Kỹ sư phần mềm,nữ,không,1,không,32,8.5,8.6,8.4,8.1,9.2,8.4,9.3
Luật sư,nam,không,6,có,25,7.0,8.3,6.3,8.6,9.7,8.8,7.9
Luật sư,nữ,không,9,không,26,7.6,8.3,9.0,6.8,9.6,9.4,8.7
Luật sư,nữ,có,7,không,34,7.5,8.2,8.9,6.5,8.5,8.9,8.1
Nhà đầu tư chứng khoán,nam,không,2,có,25,9.7,6.5,9.6,8.7,8.7,9.5,10.0
Chủ doanh nghiệp,nam,có,10,không,3,7.2,8.1,6.1,7.3,9.6,7.2,8.6
Nhà đầu tư chứng khoán,nam,có,3,không,12,8.4,6.9,6.8,9.2,8.6,6.7,7.3
Nghiên cứu mạng xã hội,nam,không,1,không,25,8.4,9.4,6.5,7.4,9.2,8.1,7.9
Bác sĩ,nam,không,6,không,50,9.4,8.7,9.9,9.9,8.6,8.6,8.5
Nhà thiết kế,nữ,không,7,không,15,8.0,9.1,10.0,8.7,8.7,9.4,10.0
Kỹ sư phần mềm,nữ,không,0,không,34,8.7,9.8,7.9,8.7,9.2,8.0,9.3
Nhà đầu tư chứng khoán,nữ,không,6,không,27,9.3,9.4,8.7,9.2,9.9,9.3,8.8
Nhà phát triển game,nữ,không,1,không,5,8.7,6.9,9.6,6.1,7.2,7.8,9.9
Chủ doanh nghiệp,nam,không,10,có,0,6.4,5.1,7.0,9.4,8.6,6.5,8.0
Kỹ sư phần mềm,nam,không,5,không,15,9.6,7.3,9.1,7.1,7.2,7.4,7.6
Nhà khoa học,nữ,không,2,có,31,9.7,6.2,9.3,8.0,9.6,9.4,6.7
Nghệ sĩ,nữ,không,6,không,0,6.2,7.9,7.5,6.5,7.1,7.5,9.3
Chủ doanh nghiệp,nam,có,1,không,5,9.7,7.9,9.6,9.4,5.9,8.3,6.4
Kỹ sư phần mềm,nam,không,3,không,35,8.5,10.0,9.0,9.3,9.4,9.7,9.8
Nghiên cứu mạng xã hội,nam,không,0,không,27,6.8,9.5,6.6,6.5,8.9,8.4,10.0
Chủ doanh nghiệp,nữ,có,7,không,1,4.5,6.8,9.9,9.1,8.8,6.3,6.1
Chủ doanh nghiệp,nam,có,6,không,2,8.6,7.9,8.6,7.3,5.3,8.4,7.9
Kỹ sư phần mềm,nữ,không,10,không,34,9.7,9.4,7.3,9.8,8.7,9.7,9.8
Kỹ sư phần mềm,nam,có,2,có,18,9.3,6.7,6.5,6.1,6.1,9.6,6.5
Kỹ sư phần mềm,nam,không,1,không,14,8.5,9.3,7.5,7.2,8.4,6.3,6.3
Nhà thiết kế,nữ,không,1,không,6,8.8,8.8,9.8,9.2,7.1,6.6,9.0
Nghệ sĩ,nam,không,5,có,2,10.0,6.7,9.8,7.1,9.2,7.9,9.9
Kỹ sư phần mềm,nam,không,2,không,19,9.3,7.4,8.8,9.2,7.7,8.9,9.6
Nghệ sĩ,nữ,không,1,không,1,7.0,6.3,7.3,9.7,6.3,6.1,9.0
Nhân viên ngân hàng,nữ,không,2,không,13,8.2,6.7,9.4,8.8,8.6,8.9,9.8
Chủ doanh nghiệp,nữ,có,8,không,3,4.1,7.6,9.4,9.3,7.9,8.4,9.6
Nhân viên ngân hàng,nam,không,2,không,21,9.4,7.4,7.4,8.9,6.7,9.3,9.6
Nhà thiết kế,nữ,có,2,không,29,6.7,6.9,7.5,9.4,9.8,8.0,7.4
Viên chức nhà nước,nữ,không,0,có,11,8.9,7.5,6.4,8.1,6.6,8.2,9.2
Bác sĩ,nam,không,3,không,23,8.2,8.2,10.0,9.3,9.1,6.1,8.3
Kỹ sư phần mềm,nam,có,2,không,30,9.6,7.9,9.3,9.2,9.2,7.1,8.7
Kế toán,nữ,không,1,không,13,9.4,8.4,8.4,8.9,5.2,9.7,7.6
Kỹ sư xây dựng,nam,không,4,không,19,8.4,6.5,8.3,9.9,8.6,7.5,6.7
Kỹ sư phần mềm,nữ,không,5,không,33,8.7,9.8,9.7,7.0,8.0,6.7,8.2
Kỹ sư phần mềm,nam,không,2,không,21,9.0,9.3,6.6,7.7,7.2,8.2,8.2
Nhà khoa học,nữ,không,7,không,31,8.6,8.1,9.1,8.3,9.7,8.3,8.0
Chủ doanh nghiệp,nam,không,6,không,3,4.8,7.2,6.4,6.5,6.4,5.5,7.9
Chủ doanh nghiệp,nữ,có,7,không,3,4.9,5.9,9.9,5.9,7.5,5.4,7.0
Nghiên cứu mạng xã hội,nam,có,0,không,30,9.0,8.3,7.2,7.7,9.9,8.4,6.7
Chủ doanh nghiệp,nữ,có,5,có,1,4.0,5.1,9.3,10.0,7.6,6.0,9.9
Nghiên cứu mạng xã hội,nữ,không,0,có,8,7.8,8.1,7.1,9.1,7.9,7.9,7.5
Kỹ sư phần mềm,nam,không,2,không,29,8.7,6.8,7.5,9.6,9.1,7.2,7.8
Kế toán,nữ,không,2,không,18,7.9,8.1,6.8,7.0,6.0,6.5,7.1
Nhà phát triển game,nữ,không,6,có,4,10.0,10.0,9.4,8.3,6.2,9.2,7.1
Nghiên cứu mạng xã hội,nữ,không,1,không,10,7.1,7.2,6.5,6.5,6.5,6.7,9.7
Nhân viên ngân hàng,nữ,không,2,không,32,7.7,6.4,6.9,6.0,9.2,7.6,7.4
Luật sư,nữ,không,1,không,32,8.3,8.4,9.6,9.6,7.9,8.0,8.1
Kỹ sư phần mềm,nam,không,2,có,16,9.6,7.9,8.0,7.1,6.7,7.6,6.3
Nghiên cứu mạng xã hội,nam,không,6,không,35,9.1,9.6,10.0,9.5,10.0,9.4,9.5
Chủ doanh nghiệp,nữ,không,8,không,2,7.1,6.9,9.5,8.3,9.0,9.3,8.9
Nghiên cứu mạng xã hội,nữ,không,3,không,27,8.4,8.0,7.5,6.3,7.1,8.6,6.3
Kỹ sư phần mềm,nam,không,3,không,28,9.1,6.1,6.1,8.5,6.4,7.6,8.8
Nhà phát triển bất động sản,nam,không,2,không,2,5.9,6.5,7.2,6.0,9.4,6.3,7.5
Bác sĩ,nam,không,3,không,42,8.9,9.0,9.1,9.5,8.7,9.2,9.6
Nhân viên ngân hàng,nam,không,7,không,31,8.1,9.2,6.8,9.3,6.9,7.8,8.9
Kế toán,nam,không,3,không,15,7.7,8.4,8.6,9.7,9.0,8.3,9.2
Chủ doanh nghiệp,nam,không,7,không,1,7.2,5.8,7.3,5.7,6.7,8.8,7.0
Giáo viên,nữ,không,5,không,10,9.1,6.3,7.8,9.3,7.6,7.6,9.0
Bác sĩ,nữ,không,5,không,40,8.8,10.0,9.4,9.1,8.5,9.1,8.8
Bác sĩ,nam,không,8,không,40,9.4,8.8,9.9,9.2,9.8,8.5,9.5
Nhà phát triển bất động sản,nữ,không,0,không,8,6.7,7.2,9.8,6.5,6.1,8.7,8.9
Nghiên cứu mạng xã hội,nữ,không,2,không,22,8.8,8.6,8.2,8.9,8.1,6.1,8.3
Nghiên cứu mạng xã hội,nữ,không,3,không,21,6.7,6.7,6.2,8.0,6.1,6.1,8.2
Luật sư,nam,không,7,không,31,9.5,8.7,9.6,9.7,8.3,9.3,8.8
Viên chức nhà nước,nam,không,1,không,10,9.6,9.1,7.8,9.4,8.1,8.8,8.6
Nhân viên ngân hàng,nữ,không,3,có,35,8.7,9.9,9.9,10.0,9.8,9.6,9.4
Nhân viên ngân hàng,nam,không,3,không,14,8.5,8.8,8.5,9.2,9.6,8.1,9.5
Viên chức nhà nước,nam,không,2,không,7,8.8,8.5,10.0,6.8,6.5,9.7,9.4
Chủ doanh nghiệp,nam,không,5,không,4,9.4,6.8,7.2,9.9,8.3,5.3,8.3
Giáo viên,nữ,không,4,có,14,6.7,10.0,7.7,8.5,7.3,9.5,8.6
Kỹ sư phần mềm,nữ,không,1,có,29,9.2,6.3,9.9,7.7,8.2,8.8,7.2
Kế toán,nữ,có,3,không,20,7.6,7.5,6.0,7.7,7.1,7.0,8.8
Kỹ sư phần mềm,nữ,không,3,có,24,8.6,7.5,9.6,6.2,8.1,9.1,8.4
Kỹ sư phần mềm,nữ,không,3,có,27,9.4,9.4,8.6,6.2,7.3,9.0,7.5
Kỹ sư phần mềm,nữ,không,3,không,31,10.0,8.5,6.2,6.2,8.9,6.5,6.7
Luật sư,nữ,không,4,không,27,7.4,8.4,7.1,9.3,6.5,9.8,6.1
Nghiên cứu mạng xã hội,nam,không,2,không,23,9.9,9.8,7.0,7.3,6.3,6.2,8.8
Chủ doanh nghiệp,nữ,không,10,không,0,6.6,9.7,7.2,9.8,8.6,8.6,6.3
Nhà khoa học,nữ,không,2,không,35,9.9,9.6,10.0,9.5,9.0,9.5,8.8
Nghiên cứu mạng xã hội,nam,không,1,có,33,9.7,7.6,9.9,8.5,9.8,6.2,9.7
Nhân viên ngân hàng,nam,không,5,có,11,8.1,7.1,7.6,9.5,9.9,8.5,7.1
Nhân viên ngân hàng,nữ,không,9,không,10,9.5,8.8,6.2,8.5,8.2,9.4,7.3
Chủ doanh nghiệp,nam,có,6,không,3,5.5,6.9,5.3,7.5,8.6,9.5,6.1
Nhà phát triển bất động sản,nam,không,3,không,5,5.0,6.2,9.7,9.0,9.3,7.5,8.0
Kỹ sư phần mềm,nam,không,5,không,34,9.8,8.4,9.0,8.3,8.4,6.1,9.9
Kế toán,nữ,không,7,không,15,8.8,6.7,7.1,8.5,6.8,8.8,6.7
Kỹ sư phần mềm,nữ,không,1,không,20,8.7,9.9,9.2,8.5,6.2,6.9,6.7
Viên chức nhà nước,nam,không,1,không,3,7.3,7.4,9.4,7.6,9.7,8.6,8.5
Chủ doanh nghiệp,nam,có,2,có,2,4.6,7.1,6.0,5.0,8.5,6.9,6.2
Nhân viên ngân hàng,nữ,không,1,không,27,8.8,8.2,9.0,9.4,9.9,7.8,6.5
Kỹ sư phần mềm,nam,có,0,không,29,9.5,6.2,6.8,6.4,7.1,8.7,6.0
Nghệ sĩ,nữ,không,1,có,2,7.3,7.1,6.0,7.0,7.8,7.2,7.8
Nhà thiết kế,nữ,không,5,không,9,7.0,8.8,10.0,9.1,9.8,6.8,8.1
Kỹ sư xây dựng,nam,không,7,không,14,8.4,10.0,9.9,9.4,8.4,8.6,6.3
Bác sĩ,nam,không,8,không,25,8.8,6.0,8.7,9.0,8.7,8.6,6.2
Nghiên cứu mạng xã hội,nam,không,1,có,9,6.6,6.5,8.2,9.6,8.7,8.7,6.3
Chủ doanh nghiệp,nam,có,9,không,2,4.6,5.4,9.3,5.7,9.9,5.9,7.3
Luật sư,nam,không,5,không,31,7.1,9.2,6.0,7.3,7.4,8.6,9.4
Nhà thiết kế,nam,không,5,không,3,7.6,7.7,9.9,8.7,9.5,9.4,8.5
Nhà thiết kế,nữ,không,5,không,12,7.8,9.5,6.6,7.0,7.5,9.9,8.4
Chủ doanh nghiệp,nam,không,5,không,5,10.0,5.4,7.0,5.8,5.0,9.5,9.2
Viên chức nhà nước,nữ,không,10,không,11,7.3,9.7,8.7,9.3,7.8,9.9,8.6
Nhà phát triển game,nam,không,2,không,4,9.6,6.3,8.5,7.7,8.2,6.5,8.8
Nghiên cứu mạng xã hội,nam,không,2,không,25,8.2,8.4,9.3,7.0,9.9,6.6,8.0
Nghiên cứu mạng xã hội,nam,không,1,không,33,8.1,9.1,7.1,7.9,9.8,6.9,7.5
Nghiên cứu mạng xã hội,nam,có,1,không,24,9.7,8.0,6.7,7.1,7.5,9.6,10.0
Nghệ sĩ,nữ,không,3,không,0,9.2,6.5,9.5,6.0,9.3,6.9,8.2
Chủ doanh nghiệp,nam,có,6,không,0,8.1,7.7,9.2,9.7,6.2,6.5,9.2
Viên chức nhà nước,nữ,không,2,không,3,9.9,6.9,7.1,8.4,9.6,8.4,6.9
Luật sư,nam,không,2,không,26,9.7,10.0,8.7,9.0,9.6,8.6,9.3
Kỹ sư xây dựng,nam,không,7,không,31,8.0,8.7,9.4,6.8,8.9,8.2,7.6
Kỹ sư phần mềm,nữ,không,4,không,20,8.8,6.2,9.1,8.3,9.7,8.3,6.3
Nghiên cứu mạng xã hội,nữ,không,1,không,9,9.5,7.2,9.9,6.7,8.3,7.8,6.5
Kỹ sư phần mềm,nữ,không,10,có,15,9.0,8.1,6.9,7.0,9.5,9.7,6.2
Chủ doanh nghiệp,nam,không,10,không,1,7.7,8.9,5.0,8.2,7.1,7.8,7.0
Chủ doanh nghiệp,nam,có,1,có,4,8.2,6.9,9.1,9.5,8.2,8.5,6.0
Nhà phát triển bất động sản,nam,không,3,có,2,9.0,7.4,8.8,9.7,8.8,7.3,6.6
Kỹ sư phần mềm,nữ,không,5,không,32,9.4,9.0,8.1,8.2,10.0,8.2,9.8
Chủ doanh nghiệp,nam,có,7,không,2,8.7,8.4,7.6,8.7,6.5,8.0,7.2
Nhà phát triển game,nữ,có,1,không,2,8.6,6.6,8.8,9.8,6.8,7.9,7.7
Nhân viên ngân hàng,nữ,không,6,không,19,8.4,8.5,8.3,6.9,8.2,9.1,6.9
Kế toán,nam,không,4,không,12,8.6,6.3,8.5,6.4,9.8,9.7,8.6
Chủ doanh nghiệp,nam,không,10,không,5,7.0,6.6,9.8,9.6,6.4,6.5,9.1
Kế toán,nữ,không,4,không,22,8.7,9.4,7.2,9.3,4.4,9.2,8.3
Chủ doanh nghiệp,nam,có,7,không,1,4.7,7.8,7.5,6.2,6.1,5.5,9.3
Kỹ sư phần mềm,nam,không,0,không,21,9.6,6.3,7.7,9.3,6.1,8.6,8.3
Chủ doanh nghiệp,nữ,có,4,không,5,5.4,9.3,9.6,5.9,8.4,7.9,9.3
Nhà phát triển bất động sản,nữ,không,3,có,5,5.9,10.0,6.4,6.8,8.6,8.9,9.1
Nghiên cứu mạng xã hội,nữ,không,2,không,8,9.2,9.9,9.3,8.2,9.7,7.0,7.9
Kỹ sư phần mềm,nam,không,4,không,25,10.0,6.2,7.8,7.4,7.2,7.3,7.8
Nhà khoa học,nam,không,5,không,34,9.2,8.1,8.4,8.4,8.4,6.6,7.4
Nhà phát triển bất động sản,nam,không,3,không,0,7.5,6.6,9.1,7.3,10.0,9.4,6.7
Kỹ sư phần mềm,nữ,không,0,không,34,9.3,7.4,6.3,9.7,6.4,6.1,9.2
Luật sư,nam,không,2,không,31,10.0,9.6,6.7,6.3,9.1,9.6,8.4
Chủ doanh nghiệp,nữ,có,7,không,1,8.0,8.4,6.7,9.6,8.8,9.4,8.6
Luật sư,nữ,không,1,có,28,10.0,9.2,6.6,9.6,7.6,8.8,7.7
Chủ doanh nghiệp,nam,có,4,không,5,5.2,6.5,7.4,7.1,6.3,5.9,6.7
Kỹ sư phần mềm,nữ,không,1,không,26,9.5,6.9,9.1,6.7,6.7,7.0,7.1
Nghiên cứu mạng xã hội,nam,không,1,không,21,10.0,6.7,10.0,6.5,6.7,9.2,6.7
Kỹ sư phần mềm,nam,không,4,không,22,9.6,7.3,9.0,8.4,6.4,7.5,6.2
Nghiên cứu mạng xã hội,nữ,không,3,không,30,6.0,6.7,9.4,7.4,7.1,9.8,7.4
Chủ doanh nghiệp,nữ,có,7,không,2,5.1,9.8,9.0,5.4,7.7,8.0,7.1
Kỹ sư phần mềm,nam,không,5,không,24,8.5,10.0,9.3,6.4,8.1,7.8,6.4
Kế toán,nam,không,10,không,15,7.6,8.6,6.8,8.3,8.2,6.7,6.9
Kỹ sư phần mềm,nam,không,1,không,24,9.2,6.3,8.7,9.2,8.1,7.8,7.4
Viên chức nhà nước,nam,không,5,không,3,9.0,8.9,9.5,7.3,7.9,9.8,6.8
Chủ doanh nghiệp,nam,có,6,có,4,7.3,5.3,6.8,6.0,9.5,9.6,9.9
Bác sĩ,nữ,không,5,không,42,9.0,8.9,9.2,9.3,9.7,9.2,10.0
Kế toán,nữ,không,6,không,24,8.7,8.7,8.6,9.1,9.0,7.5,7.9
Nhà phát triển bất động sản,nữ,không,1,không,0,9.3,9.6,7.0,9.2,6.5,9.0,8.4
Nhà phát triển bất động sản,nữ,không,3,không,4,7.5,9.1,6.8,8.6,8.1,7.2,8.9
Kỹ sư phần mềm,nữ,không,3,không,25,9.6,10.0,9.9,8.2,7.9,9.5,8.9
Nghệ sĩ,nữ,có,1,có,1,6.3,7.5,6.8,6.3,6.3,7.3,7.9
Luật sư,nam,không,5,không,35,8.5,9.0,8.9,9.8,10.0,9.7,9.5
Kỹ sư phần mềm,nam,không,7,không,20,9.3,6.1,6.5,7.7,9.7,9.0,9.0
Nghiên cứu mạng xã hội,nữ,không,7,không,11,6.0,9.2,8.2,6.5,8.2,9.1,6.7
Nghiên cứu mạng xã hội,nam,có,3,không,21,9.5,9.1,6.3,8.3,7.5,7.3,7.4
Chủ doanh nghiệp,nam,có,9,không,1,6.1,7.3,7.6,5.1,7.6,5.0,7.7
Kỹ sư phần mềm,nữ,không,3,không,15,9.7,8.1,6.5,7.0,6.2,9.6,7.5
Kỹ sư phần mềm,nam,không,1,không,33,9.0,6.4,9.1,9.3,8.6,9.1,9.7
Chủ doanh nghiệp,nữ,có,10,không,4,9.0,10.0,8.0,6.6,6.3,6.9,6.6
Kỹ sư phần mềm,nam,không,2,có,24,8.5,7.4,6.8,6.8,7.5,7.8,9.5
Nhân viên ngân hàng,nữ,không,1,không,13,8.2,8.7,9.8,7.3,7.4,8.9,6.6
Chủ doanh nghiệp,nam,có,6,không,5,9.5,8.8,6.6,7.2,9.2,5.2,7.0
Viên chức nhà nước,nam,không,1,có,12,9.5,9.6,6.6,6.8,9.0,9.1,9.9
Nhà phát triển bất động sản,nam,không,4,có,8,8.1,9.0,7.1,9.7,8.1,8.6,7.3
Giáo viên,nữ,không,2,không,8,6.2,6.9,9.9,9.5,7.3,7.9,8.3
Nhà phát triển bất động sản,nam,không,5,không,8,9.5,9.2,8.9,6.4,7.7,8.0,6.6
Chủ doanh nghiệp,nữ,có,4,có,0,6.4,6.2,5.1,8.5,7.4,9.1,9.3
Nhà thiết kế,nữ,không,5,không,14,9.6,6.7,8.8,8.2,9.0,7.4,9.6
Chủ doanh nghiệp,nữ,có,4,có,3,4.0,5.8,5.7,6.8,5.7,9.9,9.5
Nhà đầu tư chứng khoán,nam,không,2,không,19,8.7,8.0,8.4,6.5,9.1,8.4,6.5
Nghiên cứu mạng xã hội,nam,không,4,không,29,7.4,9.5,8.2,6.1,7.0,8.8,9.2
Chủ doanh nghiệp,nữ,có,7,có,0,5.1,5.6,6.4,8.5,9.1,7.8,9.7
Nhà phát triển bất động sản,nam,không,7,không,5,5.7,7.4,9.8,9.3,6.3,7.0,6.7
Chủ doanh nghiệp,nữ,không,6,không,4,8.4,5.4,5.2,5.2,6.5,5.4,6.9
Chủ doanh nghiệp,nữ,không,7,không,1,8.4,8.3,7.1,9.8,9.3,9.5,9.9
Nhà đầu tư chứng khoán,nam,không,8,có,12,10.0,8.4,7.3,9.6,9.7,8.5,6.3
Kỹ sư phần mềm,nữ,không,3,không,27,9.0,9.1,8.8,9.5,9.8,9.9,7.1
Nhân viên ngân hàng,nữ,không,4,có,12,9.7,7.7,6.6,9.3,9.9,7.8,9.1
Nhân viên ngân hàng,nam,không,3,không,21,7.7,9.3,6.9,7.5,8.8,8.1,8.9
Giáo viên,nữ,không,9,không,15,8.2,6.1,7.9,8.4,7.3,9.5,8.5
Kỹ sư phần mềm,nữ,không,3,không,26,8.9,6.8,8.3,8.8,6.9,7.9,7.4
Chủ doanh nghiệp,nữ,có,10,không,3,4.3,8.3,5.8,8.9,8.7,7.8,8.6
Luật sư,nữ,không,1,không,31,8.6,8.5,6.6,9.4,6.2,8.6,9.2
Nhà khoa học,nam,không,9,không,31,9.2,7.4,9.5,9.7,8.7,7.8,6.8
Nghiên cứu mạng xã hội,nam,không,3,không,3,7.1,7.0,6.0,8.4,8.7,8.7,6.4
Kỹ sư phần mềm,nữ,không,8,không,16,9.2,8.1,7.1,9.7,9.6,7.2,6.3
Luật sư,nam,không,5,không,29,7.7,9.2,6.5,6.2,7.6,8.4,10.0
Kỹ sư phần mềm,nam,không,4,không,31,9.0,6.2,8.7,6.3,7.7,7.1,6.8
Bác sĩ,nam,không,1,không,46,9.1,8.5,9.8,9.6,9.8,9.6,9.3
Kỹ sư phần mềm,nữ,không,1,không,24,8.8,7.2,9.6,9.7,7.1,6.0,6.1
Nhà phát triển bất động sản,nữ,không,2,không,2,9.8,7.3,8.5,7.8,6.1,7.4,9.6
Chủ doanh nghiệp,nam,có,10,không,2,8.7,6.0,6.7,8.8,9.9,5.6,9.2
Giáo viên,nữ,không,3,không,9,6.6,6.4,8.2,8.2,7.2,9.6,10.0
Chủ doanh nghiệp,nữ,có,7,không,0,8.3,9.8,5.1,7.2,9.0,5.9,7.3
Chủ doanh nghiệp,nam,không,8,không,4,4.0,9.4,9.0,6.8,6.1,7.7,9.2
Chủ doanh nghiệp,nữ,không,6,không,4,4.3,9.0,7.8,6.3,6.8,6.3,7.2
Kỹ sư phần mềm,nam,không,4,không,34,10.0,9.7,7.4,7.4,8.2,7.5,6.9
Nghiên cứu mạng xã hội,nam,không,2,không,34,9.3,7.0,7.4,7.8,9.4,7.5,9.6
Kỹ sư phần mềm,nam,không,5,không,32,9.8,8.6,8.2,7.2,7.9,9.3,9.4
Kỹ sư phần mềm,nữ,có,4,không,23,9.0,9.5,7.3,8.1,8.1,6.2,8.1
Kỹ sư phần mềm,nam,không,2,có,20,9.0,7.7,8.6,9.1,7.6,7.8,6.2
Nghệ sĩ,nữ,không,1,không,5,6.8,6.7,6.5,6.8,6.3,9.7,6.3
Kỹ sư phần mềm,nữ,không,5,có,15,9.1,6.0,9.8,7.7,7.2,7.4,6.3
Nhà thiết kế,nam,không,3,không,21,8.7,7.4,9.2,6.7,8.5,6.3,8.7
Kỹ sư phần mềm,nam,không,1,không,30,9.1,9.0,8.8,9.2,7.5,9.8,9.1
Kế toán,nam,không,3,có,15,9.8,7.2,8.7,7.4,10.0,8.4,8.5
Nhân viên ngân hàng,nam,không,6,có,18,8.5,7.4,7.9,8.2,7.1,8.7,6.7
Chủ doanh nghiệp,nữ,có,10,không,4,4.0,9.7,7.1,7.0,7.3,8.1,8.5
Kế toán,nam,không,3,không,24,7.6,7.5,7.6,6.7,6.0,7.7,10.0
Nhân viên ngân hàng,nam,không,3,không,15,8.9,7.6,8.4,9.3,6.4,8.6,9.5
Nghệ sĩ,nữ,không,3,không,2,7.6,7.3,7.4,7.3,8.1,8.7,8.4
Kỹ sư phần mềm,nữ,không,6,không,14,9.1,6.1,10.0,8.8,7.3,8.4,10.0
Chủ doanh nghiệp,nam,không,1,không,5,5.5,5.8,9.6,8.8,9.9,9.8,7.1
Nhà phát triển bất động sản,nữ,không,5,không,0,9.3,8.8,7.6,7.3,6.7,8.8,7.6
Nhà phát triển bất động sản,nữ,không,1,không,10,8.4,6.8,6.0,8.6,9.0,8.4,8.1
Chủ doanh nghiệp,nữ,có,5,không,2,6.2,6.5,9.8,5.2,6.6,9.4,8.2
Luật sư,nam,không,3,không,30,8.0,8.1,7.5,7.2,7.1,8.4,8.7
Bác sĩ,nữ,không,7,không,28,9.3,8.4,8.5,9.4,9.5,7.4,8.3
Luật sư,nữ,không,0,có,29,9.2,8.2,6.3,6.1,6.6,8.4,9.8
Kỹ sư phần mềm,nữ,không,0,không,35,8.7,8.9,9.1,8.9,9.3,9.2,9.5
Nhân viên ngân hàng,nữ,không,1,không,12,8.3,6.9,9.3,6.0,9.8,8.3,8.8
